,Airline,Source,Destination,Total_Stops,Price,Date,Month
0,IndiGo,Banglore,New Delhi,non-stop,3897,24,3
1,Air India,Kolkata,Banglore,2 stops,7662,1,5
2,Jet Airways,Delhi,Cochin,2 stops,13882,9,6
3,IndiGo,Kolkata,Banglore,1 stop,6218,12,5
4,IndiGo,Banglore,New Delhi,1 stop,13302,1,3
5,SpiceJet,Kolkata,Banglore,non-stop,3873,24,6
6,Jet Airways,Banglore,New Delhi,1 stop,11087,12,3
7,Jet Airways,Banglore,New Delhi,1 stop,22270,1,3
8,Jet Airways,Banglore,New Delhi,1 stop,11087,12,3
9,Multiple carriers,Delhi,Cochin,1 stop,8625,27,5
10,Air India,Delhi,Cochin,1 stop,8907,1,6
11,IndiGo,Kolkata,Banglore,non-stop,4174,18,4
12,Air India,Chennai,Kolkata,non-stop,4667,24,6
13,Jet Airways,Kolkata,Banglore,1 stop,9663,9,5
14,IndiGo,Kolkata,Banglore,non-stop,4804,24,4
15,Air India,Delhi,Cochin,2 stops,14011,3,3
16,SpiceJet,Delhi,Cochin,1 stop,5830,15,4
17,Jet Airways,Delhi,Cochin,1 stop,10262,12,6
18,Air India,Delhi,Cochin,2 stops,13381,12,6
19,Jet Airways,Delhi,Cochin,1 stop,12898,27,5
20,GoAir,Delhi,Cochin,1 stop,19495,6,3
21,Air India,Banglore,New Delhi,1 stop,6955,21,3
22,IndiGo,Banglore,Delhi,non-stop,3943,3,4
23,IndiGo,Banglore,Delhi,non-stop,4823,1,5
24,Jet Airways,Kolkata,Banglore,1 stop,7757,6,5
25,Jet Airways,Delhi,Cochin,2 stops,13292,9,6
26,IndiGo,Delhi,Cochin,1 stop,8238,1,6
27,GoAir,Delhi,Cochin,1 stop,7682,15,5
28,Vistara,Banglore,Delhi,non-stop,4668,18,6
29,Vistara,Chennai,Kolkata,non-stop,3687,15,6
30,Vistara,Chennai,Kolkata,non-stop,3687,18,6
31,Air India,Kolkata,Banglore,2 stops,13227,1,5
32,IndiGo,Banglore,Delhi,non-stop,4423,6,4
33,Jet Airways,Delhi,Cochin,2 stops,10919,15,6
34,Jet Airways,Delhi,Cochin,1 stop,12373,18,5
35,IndiGo,Delhi,Cochin,1 stop,5894,27,6
36,SpiceJet,Kolkata,Banglore,1 stop,4649,21,5
37,Air India,Kolkata,Banglore,non-stop,6245,18,5
